"","Player","School","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG.","BB","HPB","SO","GDP","OB.","SF","SH","wOBA","PA","BABIP","RC","SA","ISO"
"102","MyCala Helms","Delta State",0.25,0.824,104,27,26,7,1,4,21,47,0.452,16,6,18,0,0.372,3,6,0.214969696969697,132,0.22,16.45,0.355769230769231,0.201923076923077
"103","Alyssa Ward","Union",0.248,0.586,145,18,36,2,1,0,9,40,0.276,10,3,19,0,0.31,0,6,0.192920731707317,164,0.248275862068966,11.8709677419355,0.096551724137931,0.0275862068965517
"104","Rayne Minor","Mississippi College",0.246,0.54,118,18,29,0,0,0,3,29,0.246,6,2,13,0,0.294,0,2,0.19259375,128,0.245762711864407,8.18548387096774,0.0508474576271186,0
"105","Harley Bartholomew","Union",0.243,0.612,107,13,26,1,1,0,2,29,0.271,14,2,23,0,0.341,0,2,0.17416,125,0.242990654205607,9.58677685950413,0.158878504672897,0.0280373831775701
"106","Mackenzi David","Union",0.241,0.736,116,16,28,8,0,3,17,45,0.388,18,2,22,4,0.348,2,1,0.206613138686131,137,0.221238938053097,15.4477611940299,0.301724137931034,0.146551724137931
"107","Kira Finkley","Union",0.24,0.736,25,2,6,2,0,1,6,11,0.44,2,0,6,0,0.296,0,1,0.246285714285714,28,0.208333333333333,3.25925925925926,0.28,0.2
"108","Carlee Graham","Shorter",0.24,0.706,121,7,29,3,0,3,18,41,0.339,19,6,20,1,0.367,1,0,0.186034246575342,146,0.220338983050847,14.0571428571429,0.256198347107438,0.0991735537190083
"109","Lexie Bullock","Auburn Montgomery",0.24,0.686,25,15,6,1,0,1,5,10,0.4,2,0,0,1,0.286,1,4,0.21041935483871,31,0.208333333333333,2.96296296296296,0.24,0.16
"110","Payton Tuder","Shorter",0.238,0.634,122,14,29,4,0,3,18,42,0.344,8,1,26,0,0.29,0,5,0.215720588235294,136,0.218487394957983,11.9538461538462,0.172131147540984,0.10655737704918
"111","Laney Harris","Lee",0.238,0.612,143,14,34,9,1,0,20,45,0.315,8,5,21,0,0.297,2,4,0.2050625,160,0.237762237762238,12.5165562913907,0.132867132867133,0.0769230769230769
"112","Angela Agurkis","West Florida",0.233,0.826,73,15,17,7,0,3,13,33,0.452,17,0,14,0,0.374,1,2,0.19970652173913,92,0.2,12.4666666666667,0.452054794520548,0.219178082191781
"113","Alyssa Branyan","Delta State",0.232,0.753,56,4,13,1,0,1,8,17,0.304,19,3,18,1,0.449,0,5,0.11955421686747,83,0.218181818181818,7.25333333333333,0.410714285714286,0.0714285714285714
"114","Shelby Newsome","Auburn Montgomery",0.231,0.807,134,38,31,6,1,4,24,51,0.381,30,17,22,0,0.426,2,4,0.162848648648649,185,0.207692307692308,18.969512195122,0.373134328358209,0.149253731343284
"115","Jenny Griggers","Delta State",0.229,0.701,157,26,36,6,1,8,23,68,0.433,9,0,30,0,0.268,2,3,0.252585798816568,169,0.187919463087248,18.433734939759,0.261146496815287,0.203821656050955
"116","Baylee Stewart","Union",0.227,0.558,66,6,15,1,0,0,11,16,0.242,6,3,14,2,0.316,1,2,0.164272727272727,77,0.227272727272727,4.66666666666667,0.106060606060606,0.0151515151515152
"117","Taylor Phillips","Shorter",0.227,0.652,119,17,27,7,1,1,17,39,0.328,14,3,21,0,0.324,0,1,0.190262773722628,137,0.220338983050847,12.0225563909774,0.218487394957983,0.100840336134454
"118","Lauren Higginbotham","Montevallo",0.226,0.626,53,9,12,1,0,2,7,19,0.358,3,0,11,0,0.268,0,1,0.225210526315789,57,0.196078431372549,5.08928571428571,0.188679245283019,0.132075471698113
"119","Mallory Little","Mississippi College",0.224,0.596,85,6,19,2,1,1,16,26,0.306,7,1,23,0,0.29,0,2,0.192389473684211,95,0.214285714285714,7.34782608695652,0.164705882352941,0.0823529411764706
"120","Alana Loyd","Shorter",0.222,0.485,18,1,4,0,0,0,2,4,0.222,1,0,5,0,0.263,0,0,0.177473684210526,19,0.222222222222222,1.05263157894737,0.0555555555555556,0
"121","Jacie Arrington","West Georgia",0.22,0.736,100,15,22,2,0,7,22,45,0.45,9,1,27,0,0.286,2,1,0.242666666666667,111,0.161290322580645,12.7981651376147,0.32,0.23
"122","Ashlynn Smith","Christian Brothers",0.217,0.505,46,7,10,0,0,0,3,10,0.217,4,1,14,0,0.288,1,0,0.160470588235294,51,0.217391304347826,2.8,0.0869565217391304,0
"123","Raegan Stafford","Delta State",0.216,0.669,74,20,16,0,1,0,6,18,0.243,23,4,11,0,0.426,0,1,0.108637254901961,102,0.216216216216216,7.23711340206186,0.337837837837838,0.027027027027027
"124","Mackenzie Puckett","Christian Brothers",0.214,0.655,117,18,25,3,0,5,27,43,0.368,9,3,22,1,0.287,0,1,0.212407692307692,130,0.178571428571429,11.6031746031746,0.230769230769231,0.153846153846154
"125","Lexy House","West Alabama",0.213,0.533,80,20,17,1,0,0,8,18,0.225,10,1,8,0,0.308,0,4,0.144852631578947,95,0.2125,5.4,0.1375,0.0125
"126","Janina Remley","Lee",0.211,0.863,90,26,19,3,1,5,25,39,0.433,25,11,33,0,0.43,2,0,0.161857142857143,126,0.164705882352941,14.9217391304348,0.5,0.222222222222222
"127","Cara Alexander","Christian Brothers",0.209,0.649,67,11,14,5,0,0,9,19,0.284,16,1,8,0,0.365,1,1,0.136670588235294,85,0.208955223880597,6.86746987951807,0.313432835820896,0.0746268656716418
"128","Paytn Cripps","Shorter",0.207,0.599,92,11,19,10,1,1,11,34,0.37,3,0,16,2,0.229,1,4,0.221383838383838,99,0.197802197802198,7.87368421052632,0.195652173913043,0.16304347826087
"129","Alexis Sewell","Shorter",0.206,0.532,107,9,22,2,1,1,6,29,0.271,7,1,16,1,0.261,0,2,0.178880341880342,117,0.19811320754717,7.37719298245614,0.130841121495327,0.0654205607476635
"130","Ava Ramirez","West Georgia",0.197,0.584,71,5,14,4,0,1,12,21,0.296,8,1,14,1,0.288,0,1,0.169506172839506,81,0.185714285714286,5.84810126582278,0.211267605633803,0.0985915492957746
"131","Savannah Crockett","Christian Brothers",0.196,0.598,56,12,11,1,0,0,3,12,0.214,11,6,14,0,0.384,0,0,0.113602739726027,73,0.196428571428571,3.94029850746269,0.214285714285714,0.0178571428571429
"132","Maddie Gorsuch","West Georgia",0.195,0.675,77,13,15,2,0,5,11,32,0.416,6,1,16,1,0.259,1,0,0.224904761904762,84,0.138888888888889,8.09638554216867,0.298701298701299,0.220779220779221
"133","Kayla Tosone","Valdosta State",0.188,0.376,16,15,3,0,0,0,0,3,0.188,0,0,4,0,0.188,0,1,0.156,17,0.1875,0.5625,0,0
"134","Chelsea Dumas","West Florida",0.179,0.437,28,11,5,0,0,0,0,5,0.179,2,1,5,0,0.258,0,3,0.120352941176471,34,0.178571428571429,1.16666666666667,0.0714285714285714,0
"135","Kelsey Hodges","West Florida",0.172,0.549,58,8,10,3,0,1,14,16,0.276,7,1,9,0,0.273,0,1,0.149029850746269,67,0.157894736842105,4.18461538461538,0.224137931034483,0.103448275862069
"136","Reese Earleywine","Christian Brothers",0.169,0.436,71,12,12,1,0,1,7,16,0.225,3,1,20,2,0.211,1,0,0.155506666666667,75,0.157142857142857,3.24324324324324,0.0985915492957746,0.0563380281690141
"137","Kendall Johnson","West Alabama",0.16,0.548,94,31,15,3,0,1,6,21,0.223,19,4,31,0,0.325,0,5,0.10194262295082,122,0.150537634408602,6.31858407079646,0.265957446808511,0.0638297872340425
"138","Jaycee Dill","Mississippi College",0.154,0.421,26,8,4,0,0,0,2,4,0.154,3,1,4,0,0.267,0,1,0.0981935483870968,31,0.153846153846154,0.96551724137931,0.115384615384615,0
"139","Alyssa Gover","Delta State",0.148,0.392,27,14,4,1,0,0,2,5,0.185,1,1,8,0,0.207,0,0,0.129137931034483,29,0.148148148148148,0.892857142857143,0.0740740740740741,0.037037037037037
"140","M. Sheffield","West Alabama",0.083,0.374,24,12,2,0,1,0,2,4,0.167,4,0,9,0,0.207,1,2,0.0607,30,0.0833333333333333,0.857142857142857,0.25,0.0833333333333333
